iterations,fitness,time taken,time since start,fitness array
1,9.0,0.01,0.011090517044067383,[9.0]
2,10.0,0.01,0.030588388442993164,[10.0]
3,9.0,0.01,0.051162004470825195,[9.0]
4,9.0,0.01,0.06668519973754883,[9.0]
5,10.0,0.01,0.08473348617553711,[10.0]
6,10.0,0.01,0.10933375358581543,[10.0]
7,10.0,0.01,0.13640546798706055,[10.0]
8,10.0,0.01,0.1612105369567871,[10.0]
9,8.0,0.01,0.18781042098999023,[8.0]
10,9.0,0.01,0.21639657020568848,[9.0]
32,181.0,0.14,3.5147361755371094,[69.0, 93.0, 94.0, 95.0, 95.0, 98.0, 98.0, 101.0, 102.0, 104.0, 108.0, 108.0, 108.0, 108.0, 109.0, 116.0, 132.0, 134.0, 146.0, 181.0]
33,236.0,0.14,3.6711537837982178,[43.0, 50.0, 66.0, 69.0, 71.0, 75.0, 92.0, 93.0, 94.0, 95.0, 98.0, 101.0, 107.0, 108.0, 109.0, 113.0, 131.0, 142.0, 176.0, 236.0]
34,313.0,0.13,3.817594289779663,[9.0, 55.0, 64.0, 70.0, 71.0, 80.0, 91.0, 93.0, 99.0, 103.0, 103.0, 105.0, 105.0, 107.0, 109.0, 111.0, 119.0, 135.0, 143.0, 313.0]
35,500.0,0.36,4.1920387744903564,[9.0, 63.0, 94.0, 102.0, 119.0, 143.0, 180.0, 268.0, 276.0, 305.0, 330.0, 353.0, 365.0, 370.0, 395.0, 398.0, 419.0, 433.0, 500.0, 500.0]
36,498.0,0.43,4.637911081314087,[73.0, 268.0, 271.0, 273.0, 274.0, 280.0, 299.0, 308.0, 344.0, 362.0, 363.0, 366.0, 371.0, 371.0, 404.0, 410.0, 415.0, 420.0, 435.0, 498.0]
37,500.0,0.45,5.102088212966919,[32.0, 42.0, 95.0, 302.0, 324.0, 351.0, 361.0, 366.0, 368.0, 372.0, 374.0, 404.0, 419.0, 449.0, 455.0, 500.0, 500.0, 500.0, 500.0, 500.0]
38,500.0,0.47,5.589986801147461,[284.0, 315.0, 339.0, 348.0, 360.0, 363.0, 369.0, 371.0, 372.0, 372.0, 376.0, 395.0, 398.0, 406.0, 411.0, 412.0, 414.0, 446.0, 500.0, 500.0]
39,500.0,0.45,6.06424880027771,[16.0, 152.0, 250.0, 254.0, 267.0, 275.0, 304.0, 323.0, 324.0, 326.0, 347.0, 377.0, 377.0, 384.0, 447.0, 500.0, 500.0, 500.0, 500.0, 500.0]
40,500.0,0.53,6.604857683181763,[259.0, 274.0, 302.0, 331.0, 356.0, 358.0, 361.0, 401.0, 419.0, 437.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0]
41,500.0,0.57,7.194862365722656,[291.0, 329.0, 379.0, 404.0, 445.0, 457.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0]
42,500.0,0.47,7.683990240097046,[14.0, 214.0, 218.0, 264.0, 267.0, 305.0, 308.0, 323.0, 383.0, 403.0, 449.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0]
43,500.0,0.59,8.285593509674072,[224.0, 316.0, 323.0, 326.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0]
44,500.0,0.58,8.891728639602661,[70.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0]
45,500.0,0.61,9.519351959228516,[20.0, 120.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0]
46,500.0,0.57,10.114027500152588,[119.0, 465.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0]
47,500.0,0.57,10.70211410522461,[8.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0]
